time,tavg,tmin,tmax,prcp,wspd,pres,tsun
1993-06-01,15.1,11.5,19.2,52.0,,1018.4,12180.0
1993-07-01,15.3,12.7,18.4,54.0,,1020.4,8460.0
1993-08-01,15.7,11.8,20.2,16.0,,1021.1,12720.0
1993-09-01,13.5,10.6,17.3,163.0,,1010.3,8340.0
1993-10-01,10.2,7.7,12.9,107.0,,1012.5,5940.0
1993-11-01,6.6,4.1,9.9,89.0,,1018.3,4800.0
1993-12-01,8.6,6.4,10.7,171.0,,1013.2,2100.0
1994-01-01,7.9,5.8,10.0,163.0,,1015.1,2280.0
1994-02-01,7.3,4.9,10.2,165.0,,1010.3,3600.0
1994-03-01,9.3,7.1,11.6,76.0,,1021.2,3360.0
1994-04-01,8.7,6.1,11.5,103.0,,1015.9,7260.0
1994-05-01,12.0,9.3,15.3,137.0,,1011.8,8460.0
1994-06-01,14.6,10.9,18.8,30.0,,1021.7,14700.0
1994-07-01,16.8,13.3,21.1,20.0,,1018.2,12960.0
1994-08-01,16.4,13.2,20.1,84.0,,1015.5,8160.0
1994-09-01,13.7,11.4,16.7,94.0,,1014.0,5520.0
1994-10-01,12.4,9.4,16.5,138.0,,1013.6,8580.0
1994-11-01,11.6,9.7,13.8,69.0,,1017.6,2400.0
1994-12-01,9.5,7.3,11.8,190.0,,1018.9,3180.0
1995-01-01,8.2,5.7,10.3,285.0,,1016.9,1680.0
1995-02-01,9.1,6.9,11.1,211.0,,1014.1,2220.0
1995-03-01,7.7,4.9,10.9,105.0,,1016.9,8400.0
1995-04-01,9.2,6.3,12.9,66.0,,1020.1,8220.0
1995-05-01,13.1,9.3,17.2,68.0,,1016.9,12720.0
1995-06-01,14.6,11.2,18.3,20.0,,1020.3,13440.0
1995-07-01,17.7,14.1,21.9,95.0,,1016.0,11520.0
1995-08-01,18.2,14.4,23.1,24.0,,1020.1,13860.0
1995-09-01,14.2,11.4,17.5,164.0,,1013.9,6180.0
